SMILES,Affinity,Ionization
c1c(c(cc2c1ONO2)Cl)C(Cl)(Cl)Cl,2.67,4.77
COCCOc1cc(cc2c1ONO2)C(Cl)(Cl)Cl,3.07,4.67
c1cc(c2c(c1)ON(C(Cl)(Cl)Cl)O2)C(Br)(Br)Br,2.81,4.93
c1c(c(cc2c1ONO2)Cl)C(Br)(Br)Br,2.76,4.75
COCCOCCOCCON1Oc2cccc(c2O1)C(Cl)(Cl)Cl,2.63,4.46
Cc1ccc2c(c1)ON(N(=O)=O)O2,3.23,4.32
C#Cc1cc2c(cc1C(Cl)(Cl)Cl)ONO2,3.15,4.7
c1cc2c(cc1F)ON(N(=O)=O)O2,3.3,4.5
CC(C)(C)c1cc(cc2c1ONO2)C(Cl)(Cl)Cl,2.87,4.57
COCCOCCOc1cccc2c1ON(C(F)(F)F)O2,3.3,4.79
COCCOCCOCCON1Oc2cccc(c2O1)C(Br)(Br)Br,3.0,4.47
COCCOc1c(ccc2c1ONO2)C(Br)(Br)Br,3.12,4.6
CCc1cc2c(cc1C(Br)(Br)Br)ONO2,2.88,4.56
C=Cc1cc2c(cc1C(Cl)(Cl)Cl)ONO2,2.77,4.57
c1ccc(cc1)c1cc(cc2c1ONO2)C(Cl)(Cl)Cl,2.78,4.63
CC(C)(C)c1ccc2c(c1)ON(N(=O)=O)O2,3.22,4.32
COc1ccc2c(c1)ON(C(Br)(Br)Br)O2,2.59,4.16
COCCOc1ccc2c(c1)ON(N(=O)=O)O2,3.19,4.19
COc1ccc2c(c1C(Cl)(Cl)Cl)ONO2,3.21,4.16
COc1cc(cc2c1ONO2)C(Br)(Br)Br,2.84,4.62
COc1cc2c(cc1C(Br)(Br)Br)ONO2,3.19,4.35
c1cc2c(cc1C(Br)(Br)Br)ON(O)O2,2.82,4.9
c1cc(c2c(c1)ON(O)O2)C(Br)(Br)Br,3.25,4.96
CCc1cc2c(cc1C(Cl)(Cl)Cl)ONO2,2.69,4.58
c1cc2c(c(c1F)C(Br)(Br)Br)ONO2,3.3,4.69
